chromosome,start,end,strand,A549,CACO2,GM12878,HEK293,HELAS3,HEPG2,HL60,K562,MCF7,PC3
chr1,839945,840045,.,1,0,0,1,1,0,1,1,0,0
chr1,840931,841031,.,0,0,1,0,1,0,1,1,0,0
chr1,845531,845631,.,0,0,0,0,0,0,0,1,0,0
chr1,855910,856010,.,0,0,0,0,1,0,0,0,0,0
chr1,856598,856698,.,0,0,0,1,1,0,0,1,0,0
chr1,858402,858502,.,0,0,0,1,1,0,0,0,1,0
chr1,868574,868674,.,0,0,0,0,0,0,0,0,1,0
chr1,918452,918552,.,0,0,1,0,1,1,0,1,0,1
chr1,936845,936945,.,0,1,0,0,1,1,0,0,0,1
chr1,941913,942013,.,0,0,0,0,0,1,0,0,0,0
chr1,945851,945951,.,0,1,1,1,1,1,0,1,1,0
chr1,956637,956737,.,1,1,1,0,1,1,0,1,1,1
chr1,993638,993738,.,0,1,0,0,0,1,0,1,0,1
chr1,994275,994375,.,0,0,1,0,1,1,0,1,0,1
chr1,1004766,1004866,.,1,1,1,1,1,1,1,1,1,1
chr1,1005370,1005470,.,0,0,0,0,0,0,0,1,0,0
chr1,1008754,1008854,.,0,0,0,0,0,0,0,1,1,0
chr1,1014914,1015014,.,1,1,1,1,1,1,0,1,1,1
chr1,1060950,1061050,.,0,1,0,0,0,1,0,1,0,0
chr1,1063962,1064062,.,0,1,0,0,0,1,0,0,0,0
chr1,1070898,1070998,.,0,0,0,0,1,0,0,1,0,0
chr1,1093734,1093834,.,0,0,1,0,0,0,0,0,0,0
chr1,1107264,1107364,.,0,0,1,0,0,0,0,0,0,0
chr1,1136219,1136319,.,0,0,1,0,0,0,0,1,0,0
chr1,1136856,1136956,.,0,0,1,0,0,0,0,1,0,0
chr1,1144412,1144512,.,0,0,1,0,0,0,0,0,0,0
chr1,1173511,1173611,.,0,0,1,0,0,1,0,0,0,1
chr1,1186399,1186499,.,0,0,1,0,0,0,0,0,0,0
chr1,1265778,1265878,.,0,0,0,0,1,0,0,1,0,1
chr1,1283292,1283392,.,0,0,0,0,1,1,0,0,1,1
chr1,1286830,1286930,.,1,0,0,0,1,0,0,0,0,0
chr1,1294808,1294908,.,0,0,0,0,1,0,0,0,0,0
chr1,1295883,1295983,.,1,0,0,0,1,1,0,1,0,1
chr1,1343513,1343613,.,0,0,1,1,1,1,1,1,0,1
chr1,1368578,1368678,.,0,1,0,0,1,1,0,1,0,0
chr1,1609691,1609791,.,0,0,1,0,0,0,0,0,1,0
chr1,1611909,1612009,.,0,0,0,1,0,0,0,1,0,1
chr1,1706941,1707041,.,0,0,1,0,0,0,0,0,0,0
chr1,1709036,1709136,.,0,0,1,1,1,1,0,1,1,1
chr1,1714317,1714417,.,0,0,1,0,0,0,0,1,0,0
chr1,1744379,1744479,.,0,0,1,0,0,1,0,1,0,0
chr1,1772132,1772232,.,0,0,0,0,1,0,0,0,0,0
chr1,1793795,1793895,.,0,1,0,0,1,1,1,0,0,1
chr1,1803158,1803258,.,1,0,1,0,0,1,1,1,1,1
chr1,1814893,1814993,.,1,1,1,0,1,1,1,1,0,1
chr1,1840592,1840692,.,0,1,1,1,1,1,1,1,1,1
chr1,1951540,1951640,.,0,0,1,0,0,0,0,0,0,0
chr1,1952155,1952255,.,0,1,0,0,0,0,0,0,0,0
chr1,1978784,1978884,.,0,1,0,0,0,1,0,0,0,0
chr1,2059913,2060013,.,0,0,0,0,0,0,0,0,1,0
chr1,2068709,2068809,.,0,0,0,0,1,0,0,0,1,0
chr1,2082820,2082920,.,0,0,0,0,0,0,1,0,0,0
chr1,2111704,2111804,.,0,0,0,0,1,0,0,1,0,1
chr1,2135985,2136085,.,0,0,1,0,0,1,0,1,0,0
chr1,2140194,2140294,.,1,0,0,0,1,1,0,1,0,1
chr1,2162610,2162710,.,0,0,0,0,0,0,0,0,0,1
chr1,2172213,2172313,.,0,0,0,0,0,1,0,1,0,0
chr1,2177672,2177772,.,0,0,0,1,0,0,0,0,0,1
chr1,2230736,2230836,.,1,0,1,0,0,0,0,0,0,0
chr1,2231888,2231988,.,0,0,1,1,0,0,0,0,0,0
chr1,2232612,2232712,.,0,0,1,0,0,0,1,0,0,0
chr1,2245895,2245995,.,0,1,0,1,1,1,0,0,0,1
chr1,2246609,2246709,.,0,0,1,0,0,1,0,1,0,0
chr1,2253647,2253747,.,1,0,0,0,0,0,0,0,0,1
chr1,2254105,2254205,.,0,0,0,0,1,0,0,0,0,0
chr1,2477643,2477743,.,0,1,1,1,1,1,1,1,1,1
chr1,2478496,2478596,.,1,1,1,1,1,0,0,1,0,1
chr1,2509900,2510000,.,0,0,1,0,1,1,0,0,0,1
chr1,2574061,2574161,.,0,0,1,0,1,0,0,0,0,0
chr1,2574503,2574603,.,1,1,1,1,1,1,0,1,1,1
chr1,3087076,3087176,.,0,0,0,0,0,1,0,0,0,0
chr1,3111829,3111929,.,0,0,0,1,0,0,0,0,0,0
chr1,3134037,3134137,.,0,0,0,1,0,0,0,0,0,0
chr1,3136060,3136160,.,0,0,0,0,0,1,0,0,0,0
chr1,3229884,3229984,.,0,0,0,1,0,1,0,0,0,0
chr1,3231173,3231273,.,0,0,0,0,0,1,0,0,0,0
chr1,3231545,3231645,.,0,0,0,1,0,0,0,0,0,0
chr1,3232789,3232889,.,0,0,0,1,0,1,0,0,0,0
chr1,3237291,3237391,.,0,0,0,0,0,1,0,0,0,0
chr1,3243489,3243589,.,0,0,0,0,0,1,0,0,0,0
chr1,3251839,3251939,.,0,0,0,0,0,1,0,0,0,0
chr1,3267493,3267593,.,0,0,0,0,0,1,0,0,0,0
chr1,3269215,3269315,.,0,0,0,1,0,0,0,0,0,0
chr1,3373811,3373911,.,0,0,0,0,0,1,0,0,0,0
chr1,3375071,3375171,.,0,0,0,0,1,1,0,0,0,0
chr1,3377256,3377356,.,0,0,0,0,0,1,0,0,0,0
chr1,3398939,3399039,.,0,0,0,0,1,1,0,0,0,0
chr1,3420863,3420963,.,0,0,0,0,1,0,0,0,0,1
chr1,3460002,3460102,.,0,0,0,0,1,0,0,0,0,0
chr1,3464047,3464147,.,0,0,0,0,1,0,0,0,0,1
chr1,3514237,3514337,.,0,0,0,0,0,0,1,0,0,0
chr1,3521340,3521440,.,1,0,0,0,0,0,1,0,0,0
chr1,3573421,3573521,.,0,0,1,0,0,0,0,0,0,0
chr1,3581407,3581507,.,0,0,1,0,0,0,0,0,0,0
chr1,3582171,3582271,.,0,0,1,1,0,0,0,0,0,0
chr1,3590330,3590430,.,0,0,1,0,0,0,0,0,0,0
chr1,3594191,3594291,.,0,0,1,0,0,0,1,0,0,0
chr1,3609307,3609407,.,0,0,1,0,0,0,0,0,0,0
chr1,3620130,3620230,.,0,0,0,0,0,0,0,1,0,0
